Target|Predicted|PredictedLabel 0.0873883
0|0.0130213|0
0|0.0180224|0
0|0.00990748|0
0|0.0160574|0
0|0.0117626|0
0|0.0169286|0
0|0.0138294|0
0|0.0128454|0
0|0.0113807|0
0|0.0083492|0
0|0.00653453|0
0|0.00741688|0
0|0.0108881|0
0|0.0112991|0
0|0.00951705|0
0|0.0101576|0
0|0.00713599|0
0|0.00956196|0
0|0.00738146|0
0|0.00978885|0
0|0.00663189|0
0|0.00420368|0
0|-0.000838714|0
0|0.00205463|0
0|0.0135627|0
0|0.0305274|0
0|0.0375064|0
0|0.0362082|0
0|0.0269099|0
0|0.0261619|0
0|0.0252842|0
0|0.0239051|0
0|0.0303599|0
0|0.02059|0
0|0.0199219|0
0|0.019009|0
0|0.0182332|0
0|0.0145097|0
0|0.0324022|0
0|0.0122526|0
0|0.01619|0
0|0.00939952|0
0|-0.00173249|0
0|0.0114767|0
0|0.00591813|0
0|0.00596251|0
0|0.00702852|0
0|0.00245945|0
0|0.000300665|0
0|0.0431697|0
0|0.0719745|0
0|0.0341006|0
0|0.0390483|0
0|0.0462492|0
0|0.043857|0
0|0.0271191|0
0|0.0190216|0
0|0.0172421|0
0|0.0134346|0
0|0.0142384|0
0|0.0127851|0
0|0.0239728|0
0|0.0212721|0
0|0.0173777|0
0|0.0208003|0
0|0.0183779|0
0|0.0151997|0
0|0.015776|0
0|0.012213|0
0|0.0115868|0
0|0.00995386|0
0|0.00889178|0
0|0.0445257|0
0|0.00779233|0
0|0.00375703|0
0|0.00289188|0
0|0.0298424|0
0|0.00251604|0
0|0.00182932|0
0|0.000739548|0
0|0.00275088|0
0|0.00389386|0
0|0.00337443|0
0|0.00742255|0
0|-0.000788526|0
0|0.00896047|0
0|0.00975578|0
0|0.0101782|0
0|0.00916765|0
0|0.0154339|0
0|0.0203953|0
0|0.0137515|0
0|0.0183111|0
0|0.0218349|0
0|0.0188325|0
0|0.0233271|0
0|0.0172463|0
0|0.0173989|0
0|0.0263702|0
0|0.0213435|0
0|0.00910246|0
0|0.0116261|0
0|0.00846163|0
0|0.00695144|0
0|0.00661785|0
0|0.00975457|0
0|0.00740899|0
0|0.00520364|0
0|0.00334453|0
0|0.000348565|0
0|0.000575557|0
0|0.00134477|0
0|-0.00252063|0
0|-0.00276021|0
0|0.000318155|0
0|0.000539241|0
0|-0.00197721|0
0|0.0022803|0
0|0.00619455|0
0|0.00647668|0
0|0.00195563|0
0|0.000315382|0
0|0.00139806|0
0|0.00197331|0
0|0.00229578|0
0|-0.000821193|0
0|0.00359129|0
0|0.00228257|0
0|0.00320905|0
0|0.000882607|0
0|0.00472678|0
0|0.00204755|0
0|0.000778967|0
0|-0.00769793|0
0|0.00344188|0
0|0.0042768|0
0|0.000895587|0
0|0.00611366|0
0|0.0030432|0
0|0.00284602|0
0|0.00433007|0
0|0.0109086|0
0|0.00883388|0
0|0.00873167|0
0|0.0121497|0
0|0.0185579|0
0|0.0121854|0
0|0.0143415|0
0|0.0121359|0
0|0.0182146|0
0|0.0191131|0
0|0.0117983|0
0|0.0521333|0
0|0.0237615|0
0|0.0151809|0
0|0.0158009|0
0|0.0171927|0
0|0.0196157|0
0|0.0101348|0
0|0.0212619|0
0|0.0180933|0
0|0.0115684|0
0|0.0157469|0
0|0.00200507|0
0|0.018152|0
0|0.0375887|0
0|0.0129021|0
0|0.00916678|0
0|0.00329505|0
0|0.010161|0
0|0.00972051|0
0|0.0118678|0
0|0.00714701|0
0|0.00610415|0
0|0.00566313|0
0|0.0290399|0
0|0.0480989|0
0|0.00548683|0
0|0.00414717|0
0|0.00469061|0
0|0.00668731|0
0|0.0424909|0
0|0.00469783|0
0|0.00351668|0
0|0.00563316|0
0|0.0138551|0
0|0.00504506|0
0|0.00888276|0
0|0.00408495|0
0|0.0026556|0
0|0.00151331|0
0|0.0122547|0
0|0.0306991|0
0|0.00826384|0
0|0.00401676|0
0|0.0122466|0
0|0.00323083|0
0|0.00237645|0
0|0.00950387|0
0|0.00842747|0
0|0.00202079|0
0|0.00494453|0
0|0.00161556|0
0|0.0283893|0
0|-0.0152048|0
0|0.0301873|0
0|0.0280516|0
0|0.0256745|0
0|0.0234653|0
0|0.0214212|0
0|0.0195338|0
0|0.0177926|0
0|0.0161856|0
0|0.0147001|0
0|0.0133231|0
0|0.0120422|0
0|0.0108456|0
0|0.00972334|0
0|0.00866683|0
0|0.00766977|0
0|0.0148826|0
0|0.00579779|0
0|0.0727059|0
0|0.0041652|0
0|0.0812085|0
0|0.0104334|0
0|0.0126629|0
0|0.00976554|0
0|0.0130456|0
0|0.00990032|0
0|0.0120724|0
0|0.00674406|0
0|0.00760538|0
0|0.00959781|0
0|0.0163291|0
0|0.0103861|0
0|0.0119013|0
0|0.0106547|0
0|0.0188268|0
0|0.0134594|0
0|0.0145707|0
0|0.0163681|0
0|0.0201451|0
0|0.0223823|0
0|0.0269626|0
0|0.0284759|0
0|0.0354416|0
0|0.036817|0
0|0.0329947|0
0|0.0347708|0
0|0.0334176|0
0|0.0448609|0
0|0.045455|0
0|0.0433033|0
0|0.0407564|0
0|0.0398052|0
0|0.0495285|0
0|0.0378112|0
0|0.0367179|0
0|0.0350369|0
0|0.0321793|0
0|0.0291468|0
0|0.035598|0
0|0.031433|0
0|0.0300219|0
0|0.0311715|0
0|0.0280433|0
0|0.0291664|0
0|0.026635|0
0|0.0270145|0
0|0.0261534|0
0|0.0269356|0
0|0.0369578|0
0|0.019276|0
0|0.0198488|0
0|0.0301552|0
0|0.0302105|0
0|0.0296722|0
0|0.034373|0
0|0.0301626|0
0|0.0313166|0
0|0.0316112|0
0|0.0316552|0
0|0.0377913|0
0|0.0329579|0
0|0.0326983|0
0|0.0324968|0
0|0.0079474|0
0|0.0138646|0
0|0.014041|0
0|-0.00119131|0
0|0.0298238|0
0|0.00567638|0
0|0.022425|0
0|0.0200243|0
0|0.0149088|0
0|0.0146631|0
0|0.0156681|0
0|0.00300891|0
0|-0.00143278|0
0|0.0165101|0
0|0.00391287|0
0|-0.00089493|0
0|-0.000581269|0
0|0.00310824|0
0|0.00606561|0
0|-0.00253371|0
0|0.000279157|0
0|0.000571286|0
0|-0.000262681|0
0|0.00770167|0
0|0.00185602|0
0|0.00102933|0
0|-0.00264447|0
0|0.00541092|0
0|0.00333187|0
0|0.00697013|0
0|0.00786302|0
0|0.0134661|0
0|0.00910618|0
0|0.0231597|0
0|0.0162758|0
0|0.0187189|0
0|0.0202692|0
0|0.0199616|0
0|0.0227641|0
0|0.0248272|0
0|0.0268525|0
0|0.0340202|0
0|0.0307908|0
0|0.0382424|0
0|0.050581|0
0|0.0385834|0
0|0.0547693|0
0|0.0620985|0
0|0.0461545|0
0|0.0507|0
0|-0.00382418|0
0|0.00164487|0
0|0.00514814|0
0|-0.00211352|0
0|0.00672444|0
0|0.00711229|0
0|0.00879443|0
0|0.00622593|0
0|0.00457055|0
0|0.00746989|0
0|0.00754074|0
0|0.00671749|0
0|0.00671816|0
0|0.00932493|0
0|0.00809469|0
0|0.00869853|0
0|0.00629066|0
0|0.00719911|0
0|0.00858238|0
0|0.00627094|0
0|0.0158944|0
0|0.00529042|0
0|0.0085952|0
0|-0.0101743|0
0|-0.00113571|0
0|0.00270987|0
0|0.00537366|0
0|0.00653396|0
0|0.00455468|0
0|-0.0121976|0
0|0.03816|0
0|-0.00336134|0
0|0.00138333|0
0|-0.000888514|0
0|0.0120252|0
0|0.00781155|0
0|0.00295482|0
0|0.00433265|0
0|0.00263048|0
0|0.00628621|0
0|0.00890791|0
0|0.00421362|0
0|0.00691293|0
0|0.00238863|0
0|0.00749492|0
0|0.00330345|0
0|0.0303939|0
0|0.02723|0
0|0.028|0
0|0.0258734|0
0|0.026369|0
0|0.0197407|0
0|0.0250257|0
0|0.0122937|0
0|0.0127778|0
0|0.0121001|0
0|0.00779236|0
0|0.0202417|0
0|0.0141136|0
0|0.0093521|0
0|0.0127112|0
0|0.00880859|0
0|-0.00741718|0
0|0.00381335|0
0|0.0192517|0
0|0.0260159|0
0|0.00644208|0
0|0.00453872|0
0|0.00902362|0
0|0.00579279|0
0|0.00573249|0
0|0.00796163|0
0|0.00374026|0
0|0.00886548|0
0|0.00276285|0
0|0.00571878|0
0|0.00521901|0
0|0.00808817|0
0|0.00143117|0
0|0.0225381|0
0|0.00533419|0
0|-0.000283818|0
0|0.0031273|0
0|0.00554067|0
0|0.00384182|0
0|0.00635228|0
0|0.00676411|0
0|0.0050972|0
0|0.000352724|0
0|-0.0241609|0
0|0.0112475|0
0|0.00978247|0
0|0.000204244|0
0|0.00605634|0
0|0.000675338|0
0|0.00288288|0
0|0.00603898|0
0|0.0235931|0
0|0.0221591|0
0|0.0294273|0
0|0.0196475|0
0|0.0183313|0
0|0.0208722|0
0|0.0162292|0
0|0.0150704|0
0|0.0170193|0
0|0.0140828|0
0|0.0161419|0
0|0.014768|0
0|0.013488|0
0|0.00730097|0
0|0.00817056|0
0|0.0047319|0
0|0.00482386|0
0|0.00475954|0
0|0.00687919|0
0|0.0140613|0
0|0.0055315|0
0|0.00550124|0
0|0.00987668|0
0|0.00683076|0
0|0.00755662|0
0|0.00772742|0
0|0.0100535|0
0|0.0124657|0
0|0.0114515|0
0|0.0139994|0
0|0.0197434|0
0|0.0173896|0
0|0.031401|0
0|0.0142279|0
0|0.0241926|0
0|0.0258433|0
0|0.026387|0
0|0.0286064|0
0|0.0392546|0
0|0.0332102|0
0|0.0357436|0
0|0.038387|0
0|0.015802|0
0|0.0115075|0
0|0.0128184|0
0|0.0144921|0
0|0.0153828|0
0|0.0142828|0
0|0.0174952|0
0|0.015309|0
0|0.0323138|0
0|0.0137419|0
0|0.0129223|0
0|0.0153165|0
0|0.00751888|0
0|0.0186886|0
0|0.00741488|0
0|0.00660408|0
0|0.00468301|0
0|0.0103312|0
0|0.0049307|0
0|0.00451591|0
0|0.0102905|0
0|0.00546274|0
0|0.000861443|0
0|0.00734946|0
0|0.0142227|0
0|0.0039273|0
0|0.0139603|0
0|0.00427382|0
0|0.0138644|0
0|0.00163678|0
0|0.0140466|0
0|0.00369359|0
0|0.0144795|0
0|0.0118372|0
0|0.00262526|0
0|0.00924529|0
0|0.00607275|0
0|0.0172097|0
0|0.00691948|0
0|0.0162635|0
0|0.0190117|0
0|0.0170673|0
0|0.0209346|0
0|0.023734|0
0|0.0210273|0
0|0.0482568|0
0|0.0243485|0
0|0.0308277|0
0|0.0293742|0
0|0.0310536|0
