Target|Predicted|PredictedLabel
0|0.00255022|0
0|0.00189182|0
0|-0.00825572|0
0|0.00462746|0
0|0.00130315|0
0|0.00381108|0
0|-0.000596723|0
0|-0.00416166|0
0|0.00412288|0
0|0.00647433|0
0|0.00448009|0
0|0.0074022|0
0|0.0267616|0
0|0.00527631|0
0|0.00185264|0
0|0.0102051|0
0|0.0040235|0
0|0.00759968|0
0|-1.74626e-05|0
0|0.00500148|0
0|0.00420992|0
0|0.00588442|0
0|0.00480938|0
0|0.00707379|0
0|0.00305706|0
0|-0.00379025|0
0|-0.00826706|0
0|-0.0153541|0
0|-0.0137434|0
0|-0.0174689|0
0|-0.0327456|0
0|-0.0254169|0
0|-0.0509077|0
0|-0.0225792|0
0|-0.0139569|0
0|-0.0117433|0
0|-0.00828849|0
0|0.00268685|0
0|-0.00800362|0
0|-0.00427163|0
0|0.0052188|0
0|0.00127721|0
0|0.0120693|0
0|-0.0150683|0
0|0.00134149|0
0|-0.00917006|0
0|0.000750067|0
0|0.0146684|0
0|0.00886662|0
0|0.0197494|0
0|0.0439953|0
0|0.0319474|0
0|0.0305174|0
0|0.0281047|0
0|0.0412348|0
0|0.0309511|0
0|0.0172688|0
0|0.0169466|0
0|0.0300651|0
0|0.0163265|0
0|0.0160285|0
0|0.0251958|0
0|0.0257182|0
0|0.0268114|0
0|0.0281275|0
0|0.0251202|0
0|0.0199832|0
0|0.0220177|0
0|0.0187167|0
0|0.0193885|0
0|0.020978|0
0|0.0170038|0
0|0.114699|1
0|0.0196375|0
0|0.0151518|0
0|0.012338|0
0|0.111736|1
0|0.0158983|0
0|0.00468862|0
0|0.00457807|0
0|0.0103099|0
0|0.0109319|0
0|0.0100216|0
0|0.0172481|0
0|0.0241596|0
0|0.0155706|0
0|0.0209017|0
0|0.0297674|0
0|0.0117861|0
0|0.0261081|0
0|0.0299357|0
0|0.0108032|0
0|0.011609|0
0|0.000855271|0
0|0.0118441|0
0|0.013713|0
0|0.00171293|0
0|0.00402658|0
0|0.00802153|0
0|0.00883471|0
0|0.0100274|0
0|0.00390275|0
0|0.0081139|0
0|0.0104348|0
0|0.00910283|0
0|0.0101729|0
0|0.0128804|0
0|0.0100817|0
0|0.0086171|0
0|0.0120471|0
0|0.0118615|0
0|0.0137799|0
0|0.0114759|0
0|0.0125951|0
0|0.0129565|0
0|0.0162009|0
0|0.0108833|0
0|0.0182147|0
0|0.0142043|0
0|0.0210343|0
0|0.0157853|0
0|0.0302993|0
0|0.0158505|0
0|0.020496|0
0|0.0153407|0
0|0.0276739|0
0|0.012258|0
0|0.0159945|0
0|0.0141103|0
0|0.0269182|0
0|0.0133547|0
0|0.0184592|0
0|0.0200162|0
0|0.0302124|0
0|0.0383182|0
0|0.023293|0
0|0.0206111|0
0|0.0375706|0
0|0.0252129|0
0|0.0214692|0
0|0.0082419|0
0|0.036062|0
0|0.0124135|0
0|0.0204452|0
0|0.0161782|0
0|0.0420886|0
0|0.0237092|0
0|0.0231755|0
0|0.0174057|0
0|0.0215203|0
0|0.0155942|0
0|0.0114157|0
0|0.00289094|0
0|0.00329825|0
0|0.00662844|0
0|0.000528353|0
0|0.00788395|0
0|0.00527421|0
0|0.0138239|0
0|0.00381064|0
0|0.00534247|0
0|0.0129398|0
0|0.00388916|0
0|0.0109086|0
0|0.00939199|0
0|0.0139733|0
0|0.0123348|0
0|0.0104034|0
0|0.0102863|0
0|0.0138226|0
0|0.013912|0
0|0.0155228|0
0|0.0111843|0
0|0.00966773|0
0|0.011381|0
0|-0.00506121|0
0|0.0127148|0
0|0.00906671|0
0|0.0109095|0
0|0.00887839|0
0|0.00743335|0
0|0.0260818|0
0|0.014621|0
0|0.0105562|0
0|0.018422|0
0|-0.0206362|0
0|0.0147084|0
0|0.0306988|0
0|0.00896925|0
0|0.0125003|0
0|0.0139054|0
0|-0.00334597|0
0|0.0399013|0
0|0.0129235|0
0|0.0105469|0
0|0.0322236|0
0|0.00897401|0
0|0.0117627|0
0|0.0250959|0
0|0.0286213|0
0|0.010176|0
0|0.0183991|0
0|0.00652895|0
0|0.00536243|0
0|0.00517424|0
0|0.0181851|0
0|0.0178186|0
0|0.0174602|0
0|0.01711|0
0|0.0167679|0
0|0.0164341|0
0|0.0161085|0
0|0.0157911|0
0|0.0154818|0
0|0.0151808|0
0|0.014888|0
0|0.0146034|0
0|0.0143269|0
0|0.0140587|0
0|0.0137987|0
0|0.0145607|0
0|0.0198661|0
0|0.0149364|0
0|0.0128409|0
0|0.0176135|0
0|0.0145767|0
0|0.0158562|0
0|-0.000206295|0
0|0.00697219|0
0|0.0102334|0
0|0.00894253|0
0|0.00838814|0
0|0.00799365|0
0|0.00746647|0
0|0.0156901|0
0|0.0087256|0
0|0.0083927|0
0|0.0151138|0
0|0.00975158|0
0|0.00686386|0
0|0.00868063|0
0|0.00718257|0
0|0.00488447|0
0|0.00519702|0
0|0.00794333|0
0|0.00662322|0
0|0.00781347|0
0|0.0268486|0
0|0.00455541|0
0|0.00902273|0
0|-0.140657|0
0|-0.126139|0
0|-0.149072|0
0|-0.123919|0
0|-0.118931|0
0|-0.158224|0
0|-0.00884112|0
0|-0.157198|0
0|-0.155688|0
0|-0.151836|0
0|-0.150535|0
0|-0.124203|0
0|-0.15633|0
0|-0.141762|0
0|-0.156826|0
0|-0.154673|0
0|-0.146166|0
0|-0.134771|0
0|-0.130373|0
0|-0.14921|0
0|-0.128811|0
0|-0.160711|0
0|0.255058|1
0|-0.126337|0
0|-0.15346|0
0|-0.138181|0
0|-0.140525|0
0|-0.148244|0
0|-0.240097|0
0|-0.119187|0
0|-0.13288|0
0|-0.142784|0
0|-0.122985|0
0|-0.111707|0
0|-0.118009|0
0|-0.111597|0
0|-0.156261|0
0|0.00351999|0
0|0.00888888|0
0|0.013147|0
0|0.0372919|0
0|0.0419565|0
0|0.00919497|0
0|0.0196037|0
0|0.00864723|0
0|0.01134|0
0|0.0178437|0
0|0.0153892|0
0|0.0144543|0
0|0.0420528|0
0|0.0402356|0
0|-0.0010747|0
0|0.0151834|0
0|-0.00666752|0
0|0.008883|0
0|0.0183056|0
0|0.00821968|0
0|0.0117843|0
0|0.00990502|0
0|0.00790984|0
0|-0.00117913|0
0|0.00980449|0
0|0.00669505|0
0|0.0196572|0
0|0.012758|0
0|0.0104809|0
0|0.0108101|0
0|0.00867962|0
0|0.0253066|0
0|0.0111924|0
0|0.0294406|0
0|0.0252583|0
0|0.0238964|0
0|0.0219123|0
0|0.015556|0
0|0.00697958|0
0|0.0149316|0
0|0.00922952|0
0|0.035791|0
0|0.0153275|0
0|0.0198377|0
0|0.0326953|0
0|0.0309863|0
0|0.0272061|0
0|0.0504291|0
0|0.0297935|0
0|0.0104188|0
0|0.00910939|0
0|-0.00232781|0
0|-0.00219907|0
0|0.00900078|0
0|-0.00756324|0
0|-0.00520302|0
0|-0.0062716|0
0|0.00132367|0
0|2.97038e-05|0
0|0.0015183|0
0|0.00103428|0
0|0.00582803|0
0|0.0014383|0
0|0.00322793|0
0|0.00408565|0
0|0.00696735|0
0|0.00450431|0
0|0.00912839|0
0|0.00491713|0
0|0.00202413|0
0|0.00439131|0
0|0.0066061|0
0|0.00345527|0
0|0.014465|0
0|0.00556145|0
0|0.012996|0
0|0.00705389|0
0|0.00858541|0
0|0.0251454|0
0|0.0181528|0
0|0.00336066|0
0|0.0177614|0
0|0.0112294|0
0|0.00852545|0
0|0.00435259|0
0|0.00672402|0
0|0.00927313|0
0|0.00541658|0
0|0.00795671|0
0|0.0184692|0
0|0.0134168|0
0|0.00795537|0
0|0.0102344|0
0|0.0117679|0
0|0.0180251|0
0|0.0115803|0
0|0.0118832|0
0|0.0159316|0
0|0.00365283|0
0|0.0207185|0
0|0.00898192|0
0|0.00871397|0
0|0.00300601|0
0|0.0201815|0
0|0.00724651|0
0|0.00451047|0
0|0.00523117|0
0|0.00211171|0
0|0.0100698|0
0|0.00941206|0
0|0.00882999|0
0|0.017627|0
0|0.0291064|0
0|0.00915194|0
0|0.0010404|0
0|0.0411381|0
0|0.00669454|0
0|0.00611179|0
0|0.00247952|0
0|0.00208467|0
0|0.00921494|0
0|0.00955197|0
0|0.0112201|0
0|0.0195113|0
0|0.0150561|0
0|0.0114399|0
0|0.0229346|0
0|0.00788164|0
0|0.00345053|0
0|0.0170372|0
0|0.0101855|0
0|0.0129076|0
0|0.00871595|0
0|0.0144042|0
0|0.0323502|0
0|0.0226942|0
0|0.011419|0
0|0.00797372|0
0|0.0165404|0
0|0.0295798|0
0|0.00655624|0
0|0.00752816|0
0|0.0169929|0
0|0.0120757|0
0|0.0136089|0
0|0.015784|0
0|0.016227|0
0|-0.0327593|0
0|0.0212561|0
0|0.0130828|0
0|0.0186689|0
0|0.0260501|0
0|0.013126|0
0|0.00873469|0
0|0.0132192|0
0|0.0181753|0
0|0.0386408|0
0|0.0516283|0
0|0.0384577|0
0|0.017375|0
0|0.0148548|0
0|0.0124028|0
0|0.014155|0
0|0.0197013|0
0|0.0166945|0
0|0.0152522|0
0|0.0202875|0
0|0.0130275|0
0|0.016861|0
0|0.0179465|0
0|0.0278376|0
0|0.0171326|0
0|0.0119155|0
0|0.0162134|0
0|0.0133142|0
0|0.0306412|0
0|0.0193765|0
0|0.0183131|0
0|0.0107186|0
0|0.000248404|0
0|0.0175538|0
0|0.0218584|0
0|0.0157887|0
0|0.0144749|0
0|0.020246|0
0|0.0268607|0
0|0.00447663|0
0|0.0110084|0
0|0.0132843|0
0|0.00171842|0
0|-0.00289418|0
0|0.00945725|0
0|0.00770032|0
0|0.0460518|0
0|0.0205534|0
0|0.00371679|0
0|0.00838066|0
0|-0.0131089|0
0|0.00266095|0
0|0.0423587|0
0|0.00871355|0
0|-0.0064189|0
0|0.0536921|0
0|-0.00480301|0
0|-0.00415157|0
0|-0.00348755|0
0|0.0232954|0
0|-0.00246382|0
0|-0.00509307|0
0|0.0145279|0
0|0.0866506|1
0|-0.000720023|0
0|0.0193788|0
0|0.0128232|0
0|0.0325668|0
0|0.0140842|0
0|0.00823318|0
0|0.0153883|0
0|0.0254859|0
0|0.0167338|0
0|0.0287036|0
0|0.0181189|0
0|0.179719|1
0|0.0650785|0
0|0.028874|0
0|0.0937787|1
0|0.0217429|0
0|0.0673517|1
0|0.00733498|0
0|0.0237763|0
0|0.0301943|0
0|0.0116753|0
0|0.0263631|0
0|0.0315079|0
0|0.0951819|1
0|0.0343301|0
0|0.0295848|0
0|0.0261258|0
0|0.0310195|0
0|0.0305556|0
0|0.0269022|0
0|0.0223206|0
0|-0.0615843|0
0|0.0178806|0
0|0.0209042|0
0|0.0271159|0
0|0.0335367|0
0|0.0210886|0
0|0.034716|0
0|0.0211153|0
0|0.0380006|0
0|0.00772946|0
0|0.0470933|0
0|0.014289|0
0|0.0562328|0
0|0.0478705|0
0|0.0756013|1
0|0.264924|1
0|0.074653|1
0|0.0717054|1
0|0.0786267|1
0|0.114428|1
0|0.0767496|1
0|0.0578266|0
0|0.050232|0
0|0.103114|1
0|0.101995|1
0|0.0781838|1
0|0.0762746|1
1|0.0780598|1
1|0.071039|1
1|0.168837|1
1|0.0830851|1
1|0.0620311|0
1|0.0919395|1
1|0.0508065|0
1|0.123517|1
1|0.0317997|0
1|0.0957179|1
0|0.00520472|0
0|-0.00771797|0
0|0.0014434|0
0|0.00404172|0
0|0.00402106|0
0|0.00491594|0
0|0.000678943|0
0|0.00477138|0
0|0.00514898|0
0|0.0042822|0
0|0.00545047|0
0|-0.00180194|0
0|0.00667708|0
0|0.00719022|0
0|0.0051812|0
0|0.00666728|0
0|-0.00717372|0
0|0.0058147|0
0|0.00731665|0
0|0.00681785|0
0|0.00173218|0
0|0.00561837|0
0|0.000965411|0
0|0.0059696|0
0|0.00557042|0
0|0.00989446|0
0|0.00360537|0
0|-0.00232818|0
0|0.00318882|0
0|0.00758675|0
0|0.00454165|0
0|0.00602801|0
0|0.00775995|0
0|0.0133919|0
0|0.00964937|0
0|0.0110252|0
0|0.00990385|0
0|0.00912839|0
0|0.0126363|0
0|0.01181|0
